,Unnamed: 0,nan,Roadway ID,From Measure,TMC,Route Number,Direction,Community(ies),Segment Begin Location,Segment End Location,Length (miles),Lanes,Speed Limit (mph),AM Average Speed (mph),AM Congested Speed (mph),AM Delay per Mile (minutes),AM Average Travel Time Index,AM% Travel Time Index,AM Speed Index,AM Congested Minutes,PM Average Speed (mph),PM Congested Speed (mph),PM Delay per Mile (minutes),PM Average Travel Time Index,PM% Travel Time Index,PM Speed Index,PM Congested Minutes,begin lat,begin long,end lat,end long
10,13,12.0,3.0,7644.8918,129P04286,I-495,Northbound,WRENTHAM,MA-1A/South St/Exit 15,MA-1A/South St/Exit 15,0.197115544379,3.0,65,69.6996597587,12.419354838699999,0.00369348277167,1.00430906323,1.0447761194,1.07230245783,0.767089390659,70.2970808304,0.0,0.0,1.0,1.06060606061,1.08149355124,0.0,42.0459074,-71.3446022,42.0459074,-71.3446022
11,14,13.0,3.0,7951.4285,129+04287,I-495,Northbound,"FRANKLIN, WRENTHAM",MA-1A/South St/Exit 15,King St/Exit 16,3.20013964292,3.0,65,69.0362859131,29.6,0.0,1.0,1.04545454545,1.06209670636,0.119296152699,70.0173939272,0.0,0.0,1.0,1.04545454545,1.0771906758,0.0,42.0425814,-71.428686,42.0670246,-71.398952
12,15,14.0,3.0,13077.3279,129P04287,I-495,Northbound,FRANKLIN,King St/Exit 16,King St/Exit 16,0.40447332073700004,3.0,65,70.3910865788,0.0,0.0,1.0,1.0447761194,1.08293979352,0.0,70.81232550930001,0.0,0.0,1.0,1.0447761194,1.08942039245,0.0,42.0670246,-71.398952,42.0670246,-71.398952
13,16,15.0,3.0,13734.3898,129+04288,I-495,Northbound,FRANKLIN,King St/Exit 16,MA-140/Central St/Exit 17,1.8148555713499999,3.0,65,70.1444366969,22.190476190500004,0.0,1.0,1.0447761194,1.07914517995,0.502042036059,70.8432985554,0.0,0.0,1.0,1.0447761194,1.08989690085,0.0,42.0670246,-71.398952,42.0835717,-71.4033425
14,17,16.0,3.0,16645.9345,129P04288,I-495,Northbound,FRANKLIN,MA-140/Central St/Exit 17,MA-140/Central St/Exit 17,0.515334497379,3.0,65,69.3861304032,17.3333333333,0.00758327257951,1.0088471513400001,1.0447761194,1.06747892928,3.4331916658,70.66407807739999,0.0,0.0,1.0,1.0447761194,1.0871396627299998,0.0,42.0835717,-71.4033425,42.0835717,-71.4033425
15,18,17.0,3.0,17465.9683,129+04289,I-495,Northbound,"BELLINGHAM, FRANKLIN",MA-140/Central St/Exit 17,MA-126/Hartford Ave/Exit 18,2.0959989841,3.0,65,67.684570509,19.238317757,0.0168997412962,1.01943470249,1.06153846154,1.04130108475,5.165962582980001,69.4318994585,0.0,0.0,1.0,1.04545454545,1.06818306859,0.0,42.0212751,-71.49165599999999,42.11274090000001,-71.4775258
16,19,18.0,3.0,20828.8033,129P04289,I-495,Northbound,BELLINGHAM,MA-126/Hartford Ave/Exit 18,MA-126/Hartford Ave/Exit 18,0.256846467945,3.0,65,67.5902259483,13.81,0.018137096933299998,1.0208576614700002,1.078125,1.0398496299700002,4.90747367345,69.6716449529,0.0,0.0,1.0,1.04545454545,1.07187146081,0.0,42.1122621,-71.48025539999999,42.1122621,-71.48025539999999
17,20,19.0,3.0,21232.605,129+04290,I-495,Northbound,"BELLINGHAM, MEDWAY, MILFORD",MA-126/Hartford Ave/Exit 18,MA-109/Exit 19,2.28774254593,3.0,65,66.3871291099,18.7524115756,0.034224429856500004,1.03935809434,1.27777777778,1.0213404478399999,7.48195669607,69.5362992922,22.0,0.0,1.0,1.04545454545,1.0697892198799999,0.024266936299299997,42.1130793,-71.48043969999999,42.1454498,-71.46872309999999
18,21,20.0,3.0,24904.0082,129P04290,I-495,Northbound,MILFORD,MA-109/Exit 19,MA-109/Exit 19,0.479977319312,3.0,65,65.61781133640001,17.184438040299998,0.04482066013259999,1.05154375915,1.32692307692,1.00950478979,8.61398427803,68.61377915029999,22.714285714299997,0.00489470513551,1.00562891091,1.06153846154,1.05559660231,0.357789372804,42.1504408,-71.5035991,42.1504408,-71.5035991
19,22,21.0,3.0,25667.9558,129+04291,I-495,Northbound,MILFORD,MA-109/Exit 19,MA-85/Cedar St/Exit 20,1.48916931359,3.0,65,62.997433791800006,19.5735294118,0.0700668065591,1.0794090474299998,2.1935483871,0.9691912891050001,13.401765551199999,67.6214923469,14.5128205128,0.00493892295696,1.0055974460200001,1.0625,1.04033065149,0.994897959184,42.1504408,-71.5035991,42.1592063,-71.5071036
20,23,22.0,3.0,28056.9756,129P04291,I-495,Northbound,MILFORD,MA-85/Cedar St/Exit 20,MA-85/Cedar St/Exit 20,0.434586195021,3.0,65,65.9044897111,22.4322033898,0.05326552721819999,1.06214311509,2.0,1.0139152263200002,11.7730201621,70.1567861913,13.5510204082,0.0,1.0,1.0447761194,1.07933517217,1.20826055687,42.1592063,-71.5071036,42.1592063,-71.5071036
21,24,23.0,3.0,28749.5785,129+04292,I-495,Northbound,"HOPKINTON, MILFORD",MA-85/Cedar St/Exit 20,Main St/Exit 21,3.4037105684299997,3.0,65,62.579430853699996,24.5375375375,0.0764285495062,1.08661902277,2.1935483871,0.962760474673,15.9600599101,69.34889687020001,26.714285714299997,0.0,1.0,1.0303030303,1.0669061057,0.517188301693,42.1592063,-71.5071036,42.1392223,-71.521051
22,25,24.0,3.0,34218.4103,129P04292,I-495,Northbound,HOPKINTON,Main St/Exit 21,Main St/Exit 21,0.607763462662,3.0,65,60.5794208893,24.7661431065,0.120870133742,1.1390006538,2.76,0.931991090605,28.4426059979,69.6948297604,11.042857142899999,0.0,1.0,1.04545454545,1.07222815016,1.7654476670900001,42.22730139999999,-71.5251202,42.22730139999999,-71.5251202
23,26,25.0,3.0,35186.2959,129+04293,I-495,Northbound,HOPKINTON,Main St/Exit 21,I-90/Exit 22,3.1388267005,3.0,65,61.3891913692,26.189823874800002,0.107805532439,1.1239763623,2.02941176471,0.944449097988,12.365396249200002,69.3203140934,15.8684210526,0.0,1.0,1.04545454545,1.06646637067,0.9300428309200001,42.22730139999999,-71.5251202,42.2736323,-71.5432033
24,27,26.0,3.0,40210.077000000005,129P04293,I-495,Northbound,HOPKINTON,I-90/Exit 22,I-90/Exit 22,0.29648331505,3.0,65,60.5426099957,30.8487394958,0.0955151639096,1.1066585997,1.8611111111099998,0.931424769165,9.14993592482,66.78579368609999,22.6363636364,0.00287226577973,1.00320736345,1.09836065574,1.02747374902,0.586927523344,42.2736323,-71.5432033,42.2736323,-71.5432033
25,28,27.0,3.0,40696.8333,129+04294,I-495,Northbound,"HOPKINTON, WESTBOROUGH",I-90/Exit 22,MA-9/Turnpike Rd/Exit 23,1.2494796213500001,3.0,65,61.2131814483,31.25,0.04268104238940001,1.0455264452200002,1.52380952381,0.941741253051,2.7339300244099998,66.00571731069999,17.7948717949,0.0,1.0,1.0322580645200001,1.0154725740100001,0.9910005293809999,42.2736323,-71.5432033,42.2850394,-71.6097398
26,29,28.0,3.0,42701.1281,129P04294,I-495,Northbound,"SOUTHBOROUGH, WESTBOROUGH",MA-9/Turnpike Rd/Exit 23,MA-9/Turnpike Rd/Exit 23,0.566281253632,3.0,65,63.0386728875,34.0,0.0142966868857,1.01524979934,1.16363636364,0.9698257367309999,0.024883359253500003,65.3978576894,16.9605263158,0.0,1.0,1.0666666666700002,1.0061208875299998,1.99366050935,42.28883219999999,-71.56377239999999,42.28883219999999,-71.56377239999999
27,30,29.0,3.0,43603.9197,129+04295,I-495,Northbound,"MARLBOROUGH, SOUTHBOROUGH",MA-9/Turnpike Rd/Exit 23,US-20/Lakeside Ave/Exit 24,3.17206136501,3.0,65,68.0111439842,27.705882352899998,0.0,1.0,1.04615384615,1.04632529206,0.804733727811,68.0309622584,25.543624161100002,0.0,1.0,1.0625,1.04663018859,3.61833451381,42.2913881,-71.5294313,42.3411605,-71.5717323
28,31,30.0,3.0,48695.1705,129P04295,I-495,Northbound,MARLBOROUGH,US-20/Lakeside Ave/Exit 24,US-20/Lakeside Ave/Exit 24,0.528583268526,3.0,65,67.1603637115,0.0,0.0,1.0,1.046875,1.03323636479,0.0,66.3075293868,28.9052631579,0.00935222504723,1.01044331797,1.11666666667,1.02011583672,4.82897384306,42.3400585,-71.56244989999999,42.3411605,-71.5717323
29,32,31.0,3.0,49510.9417,129+04296,I-495,Northbound,MARLBOROUGH,US-20/Lakeside Ave/Exit 24,I-290/Exit 25,1.16357580904,3.0,65,68.7935905545,0.0,0.00260905809538,1.0030004168100002,1.04545454545,1.05836293161,0.0,65.98453327520001,27.8079470199,0.039738781922,1.04569959921,1.6829268292700001,1.0151466657700001,7.89456486222,42.3400585,-71.56244989999999,42.3631404,-71.590154
30,33,32.0,3.0,51389.8737,129P04296,I-495,Northbound,MARLBOROUGH,I-290/Exit 25,I-290/Exit 25,0.646561743885,3.0,65,68.5410174389,0.0,0.0058230135102900005,1.00669646554,1.06153846154,1.0544771913700002,0.0,66.9216356108,27.5056179775,0.027005816063,1.03105668847,1.1311475409799998,1.0295636247799997,2.21118012422,42.3631404,-71.590154,42.3631404,-71.590154
31,34,33.0,3.0,52431.6776,129+04297,I-495,Northbound,"BERLIN, HUDSON, MARLBOROUGH",I-290/Exit 25,MA-62/Exit 26,1.79554663592,3.0,65,66.8534839165,0.0,0.0,1.0,1.03125,1.0285151371799999,0.0,66.0870366578,27.3333333333,0.0,1.0,1.06451612903,1.01672364089,1.03215236535,42.354521,-71.5781063,42.3912437,-71.5654156
32,35,34.0,3.0,55312.9468,129P04297,I-495,Northbound,BERLIN,MA-62/Exit 26,MA-62/Exit 26,0.285562482746,3.0,65,67.1907569218,0.0,0.0,1.0,1.046875,1.03370395264,0.0,67.4142312579,0.0,0.0,1.0,1.06349206349,1.03714201935,0.0,42.38153639999999,-71.6370046,42.38153639999999,-71.6370046
33,36,35.0,3.0,55741.8002,129+04298,I-495,Northbound,"BERLIN, BOLTON",MA-62/Exit 26,MA-117/Main St/Exit 27,2.70697734395,3.0,65,68.7660253215,0.0,0.0,1.0,1.0303030303,1.0579388511,0.0,68.8826224168,0.0,0.0,1.0,1.0303030303,1.0597326525700002,0.0,42.4282239,-71.61169009999999,42.3910832,-71.56672329999999
34,37,36.0,3.0,60109.0918,129P04298,I-495,Northbound,BOLTON,MA-117/Main St/Exit 27,MA-117/Main St/Exit 27,0.279621373863,3.0,65,68.7473264835,33.4,0.0,1.0,1.0303030303,1.05765117667,0.125812539316,68.5876637555,0.0,0.0,1.0,1.04615384615,1.05519482701,0.0,42.4416232,-71.5617661,42.4416232,-71.5617661
35,38,37.0,3.0,60550.6597,129+04299,I-495,Northbound,"BOLTON, BOXBOROUGH, HARVARD",MA-117/Main St/Exit 27,MA-111/Exit 28,4.37779960187,3.0,65,69.472849118,0.0,0.0,1.0,1.0149253731299999,1.06881306335,0.0,69.97068827529999,23.3333333333,0.0,1.0,1.0149253731299999,1.07647212731,0.720288115246,42.4416232,-71.5617661,42.4999517,-71.58333499999999
36,39,38.0,3.0,67585.4578,129P04299,I-495,Northbound,BOXBOROUGH,MA-111/Exit 28,MA-111/Exit 28,0.263781863735,3.0,65,69.4401415782,0.0,0.0,1.0,1.04545454545,1.06830987043,0.0,69.7218230563,21.0909090909,0.0,1.0,1.04545454545,1.07264343164,0.566219839142,42.4823491,-71.5168672,42.4823491,-71.5168672
37,40,39.0,3.0,68002.2802,129+04300,I-495,Northbound,"BOXBOROUGH, LITTLETON",MA-111/Exit 28,MA-2/Exit 29,2.4506455748,3.0,65,69.1992043759,0.0,0.0,1.0,1.04545454545,1.06460314425,0.0,69.0789261203,23.875,0.0,1.0,1.04545454545,1.06275270954,2.9067420266500004,42.54617460000001,-71.57219839999999,42.50893850000001,-71.47441479999999
38,41,40.0,3.0,71938.773,129P04300,I-495,Northbound,LITTLETON,MA-2/Exit 29,MA-2/Exit 29,0.527678731236,3.0,65,65.61245183529999,27.414634146300003,0.032107627231900006,1.0363886442,1.1147540983600002,1.0094223359299999,0.9977692151690001,66.3884530907,16.9202898551,0.0214186818503,1.0242745061,1.07936507937,1.02136081678,3.46407279573,42.5393237,-71.51059289999999,42.5393237,-71.51059289999999
39,42,41.0,3.0,72778.6099,129+04301,I-495,Northbound,LITTLETON,MA-2/Exit 29,MA-110/MA-2A/King St/Exit 30,0.949787335322,3.0,65,67.0118098314,32.6666666667,0.0130116244267,1.01474650768,1.07936507937,1.03095092048,0.07267588573739998,67.4374012846,22.299145299099997,0.00736105813339,1.00834253255,1.0625,1.0374984812999999,2.95672317574,42.5393237,-71.51059289999999,42.5397265,-71.5014728
40,43,42.0,3.0,74298.4202,129P04301,I-495,Northbound,LITTLETON,MA-110/MA-2A/King St/Exit 30,MA-110/MA-2A/King St/Exit 30,0.303179968243,3.0,65,67.5549780903,29.9285714286,0.018600269389099998,1.0213903098000001,1.11290322581,1.0393073552399998,0.342402934882,68.41995214810001,16.8404255319,0.0073719641796,1.00847775881,1.06153846154,1.0526146484299999,2.34682201186,42.5397265,-71.5014728,42.5397265,-71.5014728
41,44,43.0,3.0,74764.9175,129+04302,I-495,Northbound,LITTLETON,MA-110/MA-2A/King St/Exit 30,MA-119/Great Rd/Exit 31,1.1030709111299999,3.0,65,66.408224674,26.6833333333,0.0211496037948,1.02396955097,1.1724137931,1.0216649949799999,1.444332999,67.6348463261,19.2653061224,0.00476373401688,1.00539889855,1.0625,1.0405360973200002,2.39364950132,42.5397265,-71.5014728,42.53433099999999,-71.44966690000001
42,45,44.0,3.0,76545.1712,129P04302,I-495,Northbound,LITTLETON,MA-119/Great Rd/Exit 31,MA-119/Great Rd/Exit 31,0.253076772242,3.0,65,65.4043264709,24.238532110100003,0.0218481168823,1.02439706385,1.1754385964899998,1.0062204072399998,2.73382798621,66.5930155941,14.355555555599999,0.005473001091939999,1.00611151789,1.06349206349,1.0245079322200001,2.37206237646,42.53433099999999,-71.44966690000001,42.53433099999999,-71.44966690000001
43,46,45.0,3.0,76944.9387,129+04303,I-495,Northbound,"LITTLETON, WESTFORD",MA-119/Great Rd/Exit 31,Boston Rd/Exit 32,2.5011239523700004,3.0,65,66.6904453522,22.3510638298,0.0173261610268,1.01963631583,1.09677419355,1.02600685157,2.2476835707900005,67.2002442002,19.8979591837,0.0105009571101,1.01190108472,1.0625,1.03384991077,3.5897435897400003,42.53433099999999,-71.44966690000001,42.574458,-71.4308155
44,47,46.0,4.0,0.0,129-04302,I-495,Southbound,"LITTLETON, WESTFORD",Boston Rd/Exit 32,MA-119/Great Rd/Exit 31,2.9077515865900003,3.0,65,67.7224704597,25.6610169492,0.016403643353,1.01886418986,1.06153846154,1.04188416092,1.4060172773299997,68.3315299068,20.3333333333,0.00850673682685,1.00978274735,1.06153846154,1.05125430626,0.504959422904,42.574458,-71.4308155,42.53433099999999,-71.44966690000001
45,48,47.0,4.0,4660.9587,129N04302,I-495,Southbound,LITTLETON,MA-119/Great Rd/Exit 31,MA-119/Great Rd/Exit 31,0.267705852727,3.0,65,66.2662597348,18.5762711864,0.0230852145325,1.0261632431399998,1.07936507937,1.019480919,2.98042517365,66.9269134253,14.461538461500002,0.014147389246300001,1.0160337078100001,1.0625,1.0296448219299998,0.652446675031,42.53433099999999,-71.44966690000001,42.53433099999999,-71.44966690000001
46,49,48.0,4.0,5093.545,129-04301,I-495,Southbound,LITTLETON,MA-119/Great Rd/Exit 31,MA-110/MA-2A/King St/Exit 30,0.773410714603,3.0,65,65.9969214982,22.5945945946,0.0267803734984,1.0303510899600001,1.09677419355,1.01533725382,3.64494612622,66.94823995,18.2424242424,0.013861806885599999,1.0157100478,1.07936507937,1.02997292231,0.8248281608,42.53433099999999,-71.44966690000001,42.5397265,-71.5014728
47,50,49.0,4.0,6332.2442,129N04301,I-495,Southbound,LITTLETON,MA-110/MA-2A/King St/Exit 30,MA-110/MA-2A/King St/Exit 30,0.237939277881,3.0,65,66.6859336675,29.0,0.0173870294623,1.01970530006,1.07936507937,1.02593744104,0.10237815932600002,66.806303908,16.1,0.0157658962708,1.01786801577,1.07936507937,1.02778929089,1.02225535087,42.5397265,-71.5014728,42.5397265,-71.5014728
48,51,50.0,4.0,6707.2313,129-04300,I-495,Southbound,LITTLETON,MA-110/MA-2A/King St/Exit 30,MA-2/Exit 29,0.959825078561,3.0,65,65.9377079867,0.0,0.0275967952037,1.0312763679,1.09677419355,1.01442627672,0.0,65.8990107172,15.05,0.0281311366112,1.03188195483,1.09677419355,1.01383093411,0.989282769992,42.5397265,-71.5014728,42.5393237,-71.51059289999999
49,52,51.0,4.0,8241.5995,129N04300,I-495,Southbound,LITTLETON,MA-2/Exit 29,MA-2/Exit 29,0.540401152922,3.0,65,66.8499112827,0.0,0.015180037532,1.01720404254,1.0625,1.0284601735799999,0.0,67.1061527363,34.0,0.011752853202799998,1.0133199003,1.0625,1.0324023497900001,0.074203854478,42.5393237,-71.51059289999999,42.5393237,-71.51059289999999
50,53,52.0,4.0,9103.6983,129-04299,I-495,Southbound,"BOXBOROUGH, LITTLETON",MA-2/Exit 29,MA-111/Exit 28,2.77954916832,3.0,65,69.2632689988,0.0,0.0,1.0,1.04545454545,1.06558875383,0.0,69.3495601759,19.863636363599998,0.0,1.0,1.04545454545,1.0669163104000001,0.527788884446,42.50893850000001,-71.47441479999999,42.54617460000001,-71.57219839999999
51,54,53.0,4.0,13567.2349,129N04299,I-495,Southbound,BOXBOROUGH,MA-111/Exit 28,MA-111/Exit 28,0.275399882733,3.0,65,69.3082498401,22.6,0.0,1.0,1.04545454545,1.06628076677,0.511617991899,69.3174925246,10.4137931034,0.0,1.0,1.04545454545,1.06642296192,0.743272105938,42.4823491,-71.5168672,42.4823491,-71.5168672
52,55,54.0,4.0,13999.406,129-04298,I-495,Southbound,"BOLTON, BOXBOROUGH, HARVARD",MA-111/Exit 28,MA-117/Main St/Exit 27,4.3589456338999995,3.0,65,68.0348525469,23.981132075500003,0.0,1.0,1.04615384615,1.04669003918,2.5260649389300003,68.7998407485,14.6530612245,0.0,1.0,1.0303030303,1.05845908844,1.1704986563200002,42.4823491,-71.5168672,42.4416232,-71.5617661
53,56,55.0,4.0,21006.0634,129N04298,I-495,Southbound,BOLTON,MA-117/Main St/Exit 27,MA-117/Main St/Exit 27,0.267386467221,3.0,65,65.93425158720001,21.7028301887,0.027644496507799998,1.0313304293799999,1.09677419355,1.0143731013400001,5.4750887765,67.588566479,0.0,0.00537116847226,1.00608732427,1.0625,1.03982409968,0.0,42.4416232,-71.5617661,42.4416232,-71.5617661
54,57,56.0,4.0,21426.901,129-04297,I-495,Southbound,"BERLIN, BOLTON",MA-117/Main St/Exit 27,MA-62/Exit 26,2.4827220470599998,3.0,65,66.0681864649,24.8533834586,0.025799729728799996,1.0292396936900001,1.30769230769,1.01643363792,6.52627274586,68.6356478168,0.0,0.0,1.0,1.04615384615,1.0559330433299998,0.0,42.3910832,-71.56672329999999,42.4282239,-71.61169009999999
55,58,57.0,4.0,25402.1727,129N04297,I-495,Southbound,BERLIN,MA-62/Exit 26,MA-62/Exit 26,0.266315315693,3.0,65,63.606641123900005,25.708196721300002,0.0477753390305,1.0533491285799998,1.71794871795,0.9785637095980001,7.79054916986,66.36602489100001,0.0,0.00855466188524,1.00955270577,1.06349206349,1.02101576755,0.0,42.38153639999999,-71.6370046,42.38153639999999,-71.6370046
56,59,58.0,4.0,25834.3787,129-04296,I-495,Southbound,"BERLIN, HUDSON, MARLBOROUGH",MA-62/Exit 26,I-290/Exit 25,1.8333474121000002,3.0,65,63.2926730262,27.1673003802,0.05245463884169999,1.05857434671,1.5952380952399998,0.9737334311720001,6.40552060077,66.5455478047,30.3636363636,0.00611569261415,1.00682919009,1.0806451612899999,1.0237776585299998,0.541649569142,42.3911577,-71.56596859999999,42.354521,-71.5781063
57,60,59.0,4.0,28774.536,129N04296,I-495,Southbound,MARLBOROUGH,I-290/Exit 25,I-290/Exit 25,0.542423049404,3.0,65,61.3854588035,28.140186915900003,0.054353256146400006,1.05888269416,1.91176470588,0.9443916739,13.668298914200001,65.1387031731,19.7222222222,0.0,1.0,1.06557377049,1.00213389497,0.458452722063,42.3631404,-71.590154,42.3631404,-71.590154
58,61,60.0,4.0,29638.977000000003,129-04295,I-495,Southbound,MARLBOROUGH,I-290/Exit 25,US-20/Lakeside Ave/Exit 24,1.20302644881,3.0,65,62.6782224051,26.631578947399998,0.034193364714700004,1.03704281177,1.27450980392,0.964280344694,1.87635016974,65.3376090842,22.16,0.0,1.0,1.06557377049,1.00519398591,1.26169698244,42.3631404,-71.590154,42.3411605,-71.5717323
59,62,61.0,4.0,31566.3223,129N04295,I-495,Southbound,MARLBOROUGH,US-20/Lakeside Ave/Exit 24,US-20/Lakeside Ave/Exit 24,0.536800158314,3.0,65,67.56281614529999,19.8461538462,0.005709508306399999,1.00647077608,1.0625,1.0394279407,0.644162279343,68.21337646079999,15.5892857143,0.0,1.0,1.04615384615,1.04943656093,1.40233722871,42.3400585,-71.56244989999999,42.3411605,-71.5717323
60,63,62.0,4.0,32421.8423,129-04294,I-495,Southbound,"MARLBOROUGH, SOUTHBOROUGH, WESTBOROUGH",US-20/Lakeside Ave/Exit 24,MA-9/Turnpike Rd/Exit 23,3.1832224178099997,3.0,65,67.5320917192,22.3103448276,0.00611354153593,1.0069286804100002,1.0625,1.03895525722,0.6969059777709999,67.0596895343,20.6966292135,0.012372346349799999,1.0140219925299998,1.07936507937,1.0316875313,4.27841762644,NA,NA,42.28883219999999,-71.56377239999999
61,64,63.0,4.0,37532.5014,129N04294,I-495,Southbound,WESTBOROUGH,MA-9/Turnpike Rd/Exit 23,MA-9/Turnpike Rd/Exit 23,0.531824749671,3.0,65,66.407602843,0.0,0.0,1.0,1.06451612903,1.02165542835,0.0,61.2704162695,24.0794223827,0.0701745121872,1.07719196341,2.53846153846,0.942621788761,21.1248808389,42.2850394,-71.6097398,42.2850394,-71.6097398
62,65,64.0,4.0,38377.6604,129-04293,I-495,Southbound,"HOPKINTON, WESTBOROUGH",MA-9/Turnpike Rd/Exit 23,I-90/Exit 22,1.36887649187,3.0,65,68.1442693852,0.0,0.0,1.0,1.03076923077,1.04837337516,0.0,62.1037716406,28.122278057,0.0706025092696,1.0788394686799998,2.0303030303,0.955442640624,14.7650453421,42.2850394,-71.6097398,42.2736323,-71.5432033
63,66,65.0,4.0,40571.7514,129N04293,I-495,Southbound,HOPKINTON,I-90/Exit 22,I-90/Exit 22,0.32143548403,3.0,65,67.67632027260001,33.0,0.0532396918894,1.06388763027,1.1612903225799998,1.0411741580399998,0.027257240204400002,65.1422261484,27.45,0.08772821994100001,1.10527386393,1.5,1.00218809459,3.18021201413,42.2736323,-71.5432033,42.2736323,-71.5432033
64,67,66.0,4.0,41078.7592,129-04292,I-495,Southbound,HOPKINTON,I-90/Exit 22,Main St/Exit 21,3.09210695415,3.0,65,68.5023198268,31.4,0.0,1.0,1.04615384615,1.05388184349,0.12372409526799999,67.5193647541,22.7,0.00628101174232,1.0071184799700001,1.1147540983600002,1.0387594577600001,0.983606557377,42.2736323,-71.5432033,42.22730139999999,-71.5251202
